,Source Article,Authors,Referenced Article,Venue,Year
42,ekstrand18a,James H Moor,Towards a theory of privacy in the information age,"ACM SIGCAS Computers and Society, 27(3):27–32, 1997",1997
43,ekstrand18a,Arvind Narayanan and Vitaly Shmatikov,Robust de-anonymization of large sparse datasets,"In Security and Privacy, 2008. SP 2008. IEEE Symposium on, pages 111–125. IEEE, 2008",2008
44,ekstrand18a,Helen Nissenbaum,Privacy as contextual integrity,"Wash. L. Rev., 79:119, 2004",2004
45,ekstrand18a,Helen Nissenbaum,"Privacy in context: Technology, policy, and the integrity of social life","Stanford University Press, 2009",2009
46,ekstrand18a,Welfare,Secretary’s Advisory Committee on Automated Personal Data Systems,"Records, Computers, and the Rights of Citizens: Report. US Department of Health, Education & Welfare, 1973",1973
47,ekstrand18a,William A Parent,"Privacy, morality, and the law","Philosophy & Public Affairs, pages 269– 288, 1983",1983
48,ekstrand18a,"Dino Pedreshi, Salvatore Ruggieri, and Franco Turini",Discrimination-aware data mining,"In Proceedings of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining, pages 560–568. ACM, 2008. Dubravka Ritter. Do we still need the equal credit opportunity act? 2012",2008
49,ekstrand18a,"Salvatore Ruggieri, Dino Pedreschi, and Franco Turini",Data mining for discrimination discovery,"ACM Transactions on Knowledge Discovery from Data (TKDD), 4(2):9, 2010",2010
50,ekstrand18a,"Salvatore Ruggieri, Sara Hajian, Faisal Kamiran, and Xiangliang Zhang",Anti-discrimination analysis using privacy attack strategies,"In Joint European Conference on Machine Learning and Knowledge Discovery in Databases, pages 694–710. Springer, 2014",2014
51,ekstrand18a,Bruce Schneier,Liars and outliers: enabling the trust that society needs to thrive,"John Wiley & Sons, 2012",2012
52,ekstrand18a,Xinghua Shi and Xintao Wu,An overview of human genetic privacy,"Annals of the New York Academy of Sciences, 1387(1):61–72, 2017",1387
53,ekstrand18a,Latanya Sweeney,k-anonymity: A model for protecting privacy,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems, 10(05):557–570, 2002",2002
54,ekstrand18a,"Jun Tang, Aleksandra Korolova, Xiaolong Bai, Xueqiang Wang, and Xiaofeng Wang",Privacy loss in apple’s implementation of differential privacy on macos 10,"12. arXiv preprint arXiv:1709.02753, 2017",2017
55,ekstrand18a,Herman T Tavani,Philosophical theories of privacy: Implications for an adequate online privacy policy,"Metaphilosophy, 38(1):1–22, 2007",2007
56,ekstrand18a,Herman T Tavani and James H Moor,"Privacy protection, control of information, and privacy-enhancing technologies","ACM SIGCAS Computers and Society, 31(1):6–11, 2001",2001
57,ekstrand18a,Catherine E Tucker,The economics of advertising and privacy,"International journal of Industrial organization, 30(3):326–329, 2012",2012
58,ekstrand18a,Samuel D Warren and Louis D Brandeis,The right to privacy,"Harvard law review, pages 193–220, 1890",1890
59,ekstrand18a,Alan F Westin,Privacy and freedom,"Washington and Lee Law Review, 25(1):166, 1968",1968
60,ekstrand18a,MICHELLE WIJNANT,General data protection regulation,2016,2016
61,ekstrand18a,"Gilbert Wondracek, Thorsten Holz, Engin Kirda, and Christopher Kruegel",A practical attack to de-anonymize social network users,"In Security and Privacy (SP), 2010 IEEE Symposium on, pages 223–238. IEEE, 2010",2010
62,ekstrand18a,"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez Rodriguez, and Krishna P Gummadi",Fairness beyond disparate treatment & disparate impact: Learning classification without disparate mistreatment,"In Proceedings of the 26th International Conference on World Wide Web, WWW ’17, pages 1171–1180, Republic and Canton of Geneva, Switzerland, 2017",2017
63,ekstrand18a,International World Wide Web Conferences Steering Committee,ISBN 9781450349130,doi: 10.1145/3038912.3052660. URL https: //doi.org/10.1145/3038912.3052660,
64,ekstrand18a,"Rich Zemel, Yu Wu, Kevin Swersky, Toni Pitassi, and Cynthia Dwork",Learning fair representations,"In Proceedings of the 30th International Conference on Machine Learning (ICML-13), pages 325–333, 2013",2013
65,ekstrand18a,"Chen Zeng, Jeffrey F Naughton, and Jin-Yi Cai",On differentially private frequent itemset mining,"Proceedings of the VLDB Endowment, 6 (1):25–36, 2012",2012
0,burke18a,"Himan Abdollahpouri, Robin Burke, and Bamshad Mobasher",Recommender Systems as Multistakeholder Environments,"In Extended Abstracts of the 25th Conference on User Modeling, Adaptation and Personalization (UMAP’17), Bratislava, Slovakia, 2017. CEUR",2017
1,burke18a,G Adomavicius and Y O Kwon,Improving aggregate recommendation diversity using ranking-based techniques,"Knowledge and Data Engineering, IEEE Transactions on, 24 (5):896–911, 2012",2012
2,burke18a,Leman Akoglu and Christos Faloutsos,Valuepick: Towards a value-oriented dual-goal recommender system,"In 2010 IEEE International Conference on Data Mining Workshops, pages 1151–1158, Sydney, NSW, Australia, 2010. IEEE",2010
3,burke18a,Engin Bozdag,Bias in algorithmic filtering and personalization,"Ethics and Information Technology, 15(3):209–227, September 2013. ISSN 1388-1957, 1572-8439. doi: 10.1007/ s10676-013-9321-6",2013
4,burke18a,"Robin Burke, Himan Abdollahpouri, Bamshad Mobasher, and Trinadh Gupta",Towards multistakeholder utility evaluation of recommender systems,"In UMAP Extended Proceedings: Workshop on Surprise, Opposition, and Obstruction in Adaptive and Personalized Systems (SOAP 2016), Halifax, Canada, 2016. CEUR",2016
5,burke18a,"Cynthia Dwork, Moritz Hardt, Toniann Pitassi, Omer Reingold, and Richard Zemel",Fairness through awareness,"In Proceedings of the 3rd Innovations in Theoretical Computer Science Conference, pages 214–226, Cambridge, Massachusetts, 2012. ACM",2012
6,burke18a,David S Evans and Richard Schmalensee,Matchmakers: The New Economics of Multisided Platforms,"Harvard Business Review Press, Cambridge, MA, USA, 2016",2016
7,burke18a,"Jerome Friedman, Trevor Hastie, Holger Hfling, and Robert Tibshirani",Pathwise coordinate optimization,"The Annals of Applied Statistics, 1(2):302–332, December 2007. ISSN 19326157. doi: 10.1214/07-AOAS131",2007
8,burke18a,"Guibing Guo, Jie Zhang, Zhu Sun, and Neil Yorke-Smith",Librec: A java library for recommender systems,"In UMAP Extended Proceedings, Dublin, Ireland, 2015. CEUR. F Maxwell Harper and Joseph A Konstan. The movielens datasets: History and context. ACM Transactions on Interactive Intelligent Systems (TiiS), 5(4), 2015",2015
9,burke18a,"Ganesh Iyer, David Soberman, and J Miguel Villas-Boas",The targeting of advertising,"Marketing Science, 24(3):461–476, 2005",2005
10,burke18a,"Faisal Kamiran, Toon Calders, and Mykola Pechenizkiy",Discrimination aware decision tree learning,"In Data Mining (ICDM), 2010 IEEE 10th International Conference on, pages 869– 874, University of Technology Sydney, Australia, 2010. IEEE",2010
11,burke18a,"Toshihiro Kamishima, Shotaro Akaho, Hideki Asoh, and Jun Sakuma",Fairness-aware classifier with prejudice remover regularizer,"In Machine Learning and Knowledge Discovery in Databases, pages 35–50, Heidelberg, Germany, 2012. Springer",2012
12,burke18a,"Toshihiro Kamishima, Shotaro Akaho, Hideki Asoh, and Jun Sakuma",Correcting popularity bias by enhancing recommendation neutrality,"In Poster Proceedings of the 8th ACM Conference on Recommender Systems (RecSys 2014), Foster City, Silicon Valley, USA, 2014. CEUR. URL http://ceur-ws.org/ Vol-1247/recsys14_poster10.pdf",2014
13,burke18a,"Akaho, Shotaro Kamishima, Toshihiro",Considerations on recommendation independence for a find-good-items task,"In Workshop on Responsible Recommendation (FATRec), Como, Italy, 2017. Boise State ScholarWorks",2017
14,burke18a,Y Koren and R Bell,Advances in collaborative filtering,"In Francesco Ricci, Lior Rokach, Bracha Shapira, and Paul B Kantor, editors, Recommender Systems Handbook, pages 145– 186. Springer, Heidelberg, Germany, 2015",2015
15,burke18a,"Eric L Lee, Jing-Kai Lou, Wei-Ming Chen, YenChi Chen, Shou-De Lin, Yen-Sheng Chiang, and Kuan-Ta Chen",Fairness-aware loan recommendation for microfinance services,"In Proceedings of the 2014 International Conference on Social Computing, Beijing, China, 2014. ACM",2014
16,burke18a,"Giseli Rabello Lopes, Mirella M Moro, Leandro Krug Wives, and José Palazzo Moreira De Oliveira",Collaboration recommendation on academic social networks,"In International Conference on Conceptual Modeling, pages 190–199, Heidelberg, Germany, 2010. Springer",2010
17,burke18a,Xia Ning and George Karypis,SLIM: Sparse linear methods for top-n recommender systems,"In 11th IEEE International Conference on Data Mining (ICDM), pages 497–506, New York, NY, USA, 2011. IEEE",2011
18,burke18a,"D O Sullivan, B Smyth, and D Wilson",Preserving recommender accuracy and diversity in sparse datasets,"International Journal on Artificial Intelligence Tools, 13(1):219–236, 2004. Eli Pariser. The filter bubble: How the new personalized web is changing what we read and how we think. Penguin, New York, NY, USA, 2011",2004
19,burke18a,"Dino Pedreshi, Salvatore Ruggieri, and Franco Turini",Discrimination-aware data mining,"In Proceedings of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining, pages 560–568, New York, NY, USA, 2008. ACM",2008
20,burke18a,"Luiz Pizzato, Tomek Rej, Thomas Chung, Irena Koprinska, and Judy Kay",Recon: a reciprocal recommender for online dating,"In Proceedings of the fourth ACM conference on Recommender systems, pages 207–214, New York, NY, USA, 2010. ACM",2010
21,burke18a,Andrea Romei and Salvatore Ruggieri,A multidisciplinary survey on discrimination analysis,"The Knowledge Engineering Review, 29 (5):582–638, 2014",2014
22,burke18a,Cass R Sunstein,Republic,"com 2.0. Princeton University Press, Princeton, NJ, 2009",2009
23,burke18a,"Jie Tang, Sen Wu, Jimeng Sun, and Hang Su",Cross-domain collaboration recommendation,"In Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining, pages 1285–1293, Beijing, China, 2012. ACM",2012
24,burke18a,Saúl Vargas and Pablo Castells,Rank and relevance in novelty and diversity metrics for recommender systems,"In Proceedings of the Fifth ACM Conference on Recommender Systems, RecSys ’11, pages 109–116, New York, NY, USA, 2011. ACM. ISBN 978-1-4503-0683-6. doi: 10.1145/2043932.2043955",2011
25,burke18a,Sirui Yao and Bert Huang,Beyond parity: Fairness objectives for collaborative filtering,"arXiv:1705.08804, 2017a",2017
26,burke18a,Sirui Yao and Bert Huang,New fairness metrics for recommendation that embrace differences,"In Workshop on Fairness, Accountability and Transparency in Machine Learning (FATML), Halifax, Nova Scotia, 2017b. arXiv:1706.09838",2017
27,burke18a,"Rich Zemel, Yu Wu, Kevin Swersky, Toni Pitassi, and Cynthia Dwork",Learning fair representations,"In Proceedings of the 30th International Conference on Machine Learning (ICML-13), pages 325–333, Atlanta, GA, USA, 2013. ACM",2013
28,burke18a,Lu Zhang and Xintao Wu,Anti-discrimination learning: a causal modeling-based framework,"International Journal of Data Science and Analytics, 4(1):1–16, 2017",2017
29,burke18a,Mi Zhang and Neil Hurley,Avoiding monotony: Improving the diversity of recommendation lists,"In Proceedings of the 2008 ACM Conference on Recommender Systems, RecSys ’08, pages 123–130, New York, NY, USA, 2008. ACM. ISBN 978-1-60558-093-7. doi: 10.1145/ 1454008.1454030",2008
30,burke18a,"Yong Zheng, Bamshad Mobasher, and Robin Burke",CSLIM: Contextual SLIM recommendation algorithms,"In Proceedings of the 8th ACM Conference on Recommender Systems, pages 301–304, Silicon Valley, CA, USA, 2014. ACM",2014
0,barabas18a,"D A Andrews, James Bonta, and R D Hoge",Classification for effective rehabilitation,"Criminal Justice and Behavior, 17(1):19–52, 1990. doi: 10.1177/0093854890017001004",1990
1,barabas18a,"D A Andrews, James Bonta, and J Stephen Wormith",The recent past and near future of risk and/or need assessment,"Crime & Delinquency, 52(1):7–27, 2006. doi: 10.1177/ 0011128705281756",2006
2,barabas18a,D A Andrews and J Bonta,The Psychology of Criminal Conduct,"Anderson Publishing. Lexis Nexis/Anderson Pub., 2010. ISBN 9781422463291",2010
3,barabas18a,"Julia Angwin, Jeff Larson, Surya Mattu, and Lauren Kirchner",Machine bias: There’s software used across the country to predict future criminals,"and it’s biased against blacks. ProPublica, 2016",2016
4,barabas18a,"William Bales, Karen Mann, Thomas Blomberg, Gerry Gaes, Kelle Barrick, Karla Dhungana, and Brian McManus",Quantitative and qualitative assessment of electronic monitoring,2010,2010
5,barabas18a,"Geoffrey C Barnes, Lindsay Ahlman, Charlotte Gill, Lawrence W Sherman, Ellen Kurtz, and Robert Malvestuto","Low-intensity community supervision for low-risk offenders: a randomized, controlled trial","Journal of Experimental Criminology, 6(2):159–189, 2010",2010
6,barabas18a,Solon Barocas and Andrew D Selbst,Big data’s disparate impact,"California Law Review, 104, 2016. doi: 10.15779/Z38BG31",2016
7,barabas18a,Ulrich Beck,Risk Society: Towards a New Modernity,"SAGE Publications Ltd, 1992",1992
8,barabas18a,J Belknap,"The Invisible Woman: Gender, Crime, and Justice","Cengage Learning, 2014. ISBN 9781305175730",2014
9,barabas18a,"Richard Berk, Hoda Heidari, Shahin Jabbari, Michael Kearns, and Aaron Roth",Fairness in criminal justice risk assessments: The state of the art,"Working Paper 2017-1.0, University of Pennsylvania, Department of Criminology, 2017. URL https://arxiv.org/abs/1703. 09207",2017
10,barabas18a,John Biggs,"Naborly lets landlords screen tenants automagically, 2016",URL https: //techcrunch.com/2016/08/15/naborlylets-landlords-screen-tenantsautomagically/,2016
11,barabas18a,Meda Chesney-Lind,Girls’ crime and woman’s place: Toward a feminist model of female delinquency,"Crime & Delinquency, 35(1):5–29, 1989. doi: 10.1177/0011128789035001002",1989
12,barabas18a,Danielle Citron,"(un)fairness of risk scores in criminal sentencing, 2016",URL https: //www.forbes.com/sites/daniellecitron/ 2016/07/13/unfairness-of-risk-scoresin-criminal-sentencing/,2016
13,barabas18a,Francis T Cullen and Paul Genderau,From nothing works to what works: Changing professional ideology in the 21st century,"The Prison Journal, 81(3):313–338, 2001. doi: 10.1177/0032885501081003002",2001
14,barabas18a,"Francis T Cullen, Cheryl Lero Jonson, and Daniel S Nagin",Prisons do not reduce recidivism,"The Prison Journal, 91(3):48S–65S, 2011. doi: 10.1177/0032885511415224",2011
15,barabas18a,Robert DeFina and Lance Hannon,"For incapacitation, there is no time like the present: The lagged effects of prisoner reentry on property and violent crime rates","Social Science Research, 39(6):1004–1014, 2010. doi: 10.1016/ j.ssresearch.2010.08.001",2010
16,barabas18a,Sarah L Desmarais and Jay P Singh,Risk assessment instruments validated and implemented in correctional settings in the united states,"Technical report, The Council of State Governments Justice Center, 2013",2013
17,barabas18a,"Will Dobbie, Jacob Goldin, and Crystal Yang","The effects of pre-trial detention on conviction, future crime, and employment: Evidence from randomly assigned judges","Technical report, National Bureau of Economic Research, 2016",2016
18,barabas18a,Grant Duwe,"Timing and sequence of correctional programming, 2017",URL http: //www.crj.org/assets/2017/09/Timingand-Sequencing-of-CorrectionalProgramming-Duwe.pdf,2017
19,barabas18a,Grant Duwe and KiDeuk Kim,Sacrificing accuracy for transparency in recidivism risk assessment: The impact of classification method on predictive performance,"Corrections, 1(3): 155–176, 2016. doi: 10.1080/23774657.2016. 1178083",2016
20,barabas18a,The Economist,"Machine-learning promises to shake up large swathes of finance, 2017",URL https://www.economist.com/ news/finance-and-economics/21722685fields-trading-credit-assessmentfraud-prevention-machine-learning,2017
21,barabas18a,M C Elish and danah boyd,Situating methods in the magic of big data and ai,"Communication Monographs, 0(0):1–24, 2017. doi: 10.1080/03637751.2017.1375130",2017
22,barabas18a,Margareth Etienne,Legal and practical implications of evidence-based sentencing by judges,"Chapman Journal of Criminal Justice, 1:43– 60, 2009",2009
23,barabas18a,Malcolm M Feeley and Jonathan Simon,The new penology: Notes on the emerging strategy of corrections and its implications,"Criminology, 30:449–475, 1992. URL http://scholarship.law.berkeley.edu/ facpubs/718/",1992
24,barabas18a,Stephen A Fennell and William N Hall,Due process at sentencing: An empirical and legal analysis of the disclosure of presentence reports in federal courts,"Harvard Law Review, 93(8): 1613–1697, 1980. ISSN 0017811X",1980
