,Source Article,Authors,Referenced Article,Venue,Year
38,3287560.3287572,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez, Łukasz Kaiser, and Illia Polosukhin",Attention is all you need,In Advances in Neural Information Processing Systems. 5998–6008,2017
39,3287560.3287572,Ke Yang and Julia Stoyanovich,Measuring fairness in ranked outputs,In Proceedings of the 29th International Conference on Scientific and Statistical Database Management. 22,2017
40,3287560.3287572,"Zichao Yang, Diyi Yang, Chris Dyer, Xiaodong He, Alex Smola, and Eduard Hovy",Hierarchical attention networks for document classification,In Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies. 1480–1489,2016
41,3287560.3287572,"Meike Zehlike, Francesco Bonchi, Carlos Castillo, Sara Hajian, Mohamed Megahed, and Ricardo Baeza-Yates",FA*IR: A fair top-k ranking algorithm,In Proceedings of the ACM Conference on Information and Knowledge Management. 1569–1578,2017
42,3287560.3287572,"Rich Zemel, Yu Wu, Kevin Swersky, Toni Pitassi, and Cynthia Dwork",Learning fair representations,In International Conference on Machine Learning. 325–333,2013
43,3287560.3287572,"Jieyu Zhao, Tianlu Wang, Mark Yatskar, Vicente Ordonez, and Kai-Wei Chang",Gender bias in coreference resolution: Evaluation and debiasing methods,arXiv preprint arXiv:1804.06876 (2018),2018
0,3287560.3287567,Solon Barocas and Danah Boyd,Engaging the Ethics of Data Science  in Practice,"Commun. ACM 60, 11 (2017), 23–25",2017
1,3287560.3287567,"Solon Barocas, Elizabeth Bradley, Vasant Honavar, and Foster Provost","Big Data, Data Science, and Civil Rights",A white paper prepared for  the Computing Community Consortium committee of the Computing  Research Association. Retrieved from https://cra.org/ccc/resources/cccled-whitepapers/,2017
2,3287560.3287567,Solon Barocas and Andrew D. Selbst,Big Data’s Disparate Impact,"104 Calif. Law Rev. 671, (2016)",2016
3,3287560.3287567,danah boyd and Kate Crawford,"Critical Questions for Big Data:  Provocations for a cultural, technological, and Scholarly phenomenon","Information, Commun. Soc. 15, 5 (June 2012), 662–679",2012
4,3287560.3287567,Lawrence Busch,A Dozen Ways to Get Lost in Translation: Inherent  Challenges in Large Scale Data Sets,"Int. J. Commun. 8, (2014), 1727–1744",2014
5,3287560.3287567,Kevin Daniel André Carillo,Let’s stop trying to be “sexy” – preparing  managers for the (big) data-driven business era,"Bus. Process Manag. J. 23,  3 (2017), 598–622",2017
6,3287560.3287567,"Pete Chapman, Julian Clinton, Randy Kerber, Thomas Khabaza, Colin  Shearer, and Rüdiger Wirth",CRISP-DM 1,0: Step by step data  mining guide,2000
7,3287560.3287567,Harry M. Collins,Changing Order: Replication and Induction in  Scientific Practice,"Sage, London",1985
8,3287560.3287567,Jack Cook,Ethics of Data Mining,"In Encyclopedia of Data  Warehousing and Mining, John Wang (ed.). IGI Global, Hershey, 783– 788",2009
9,3287560.3287567,"Morgan Currie, Britt S Paris, Irene Pasquetto, and Jennifer Pierre",The  conundrum of police officer-involved homicides: Counter-data in Los  Angeles County,"Big Data Soc. 3, 2 (2016), 1–14",2016
10,3287560.3287567,Peter Danielson,Metaphors and Models for Data Mining Ethics,"In  Social Implications of Data Mining and Information Privacy:  Interdisciplinary Frameworks and Solutions, Ephrem Eyob (ed.). IGI  Global, Hershey, 33–47",2009
11,3287560.3287567,Pedro Domingos,A Few Useful Things to Know About Machine  Learning,"Commun. ACM 55, 10 (2012), 78–87",2012
12,3287560.3287567,Paul Dourish and Edgar Gómez Cruz,Datafication and data fiction:  Narrating data and narrating with data,"Big Data Soc. 5, 2 (2018), 1–10",2018
13,3287560.3287567,"Usama Fayyad, Gregory Piatetsky-Shapiro, and Padhraic Smyth",From Data Mining to Knowledge Discovery in Databases,"AI Mag. 17, 3  (1996), 37–54",1996
14,3287560.3287567,"Usama Fayyad, Gregory Piatetsky-Shapiro, and Padhraic Smyth",The  KDD Process for Extracting Useful Knowledge from Volumes of Data,"Commun. ACM 39, 11 (November 1996), 27–34",1996
15,3287560.3287567,"William J. Frawley, Gregory Piatetsky-Shapiro, and Christopher J.  Matheus",Knowledge Discovery in Databases: an Overview,"AI Mag.  13, 3 (1992), 57–70",1992
16,3287560.3287567,Batya Friedman and Helen Nissenbaum,Bias in computer systems,"ACM Trans. Inf. Syst. 14, 3 (1996), 330–347",1996
17,3287560.3287567,Mohamed Medhat Gaber (Ed.),Journeys to Data Mining:  Experiences From 15 Renowned Researchers,"Springer, Berlin, Germany",2012
18,3287560.3287567,Lisa Gitelman,Raw Data is an Oxymoron,"MIT Press, MA",2006
19,3287560.3287567,Barney Glaser and Anselm Strauss,The Discovery of Grounded  Theory: Strategies for Qualitative Research,"Aldine Transactions,  Chicago",1967
20,3287560.3287567,Justin Grimmer,"We Are All Social Scientists Now: How Big Data,  Machine Learning, and Causal Inference Work Together","PS Polit. Sci.  Polit. 48, 1 (2015), 80–83",2015
21,3287560.3287567,David Hand,Deconstructing Statistical Questions,"J. R. Stat. Soc. Ser.  A (Statistics Soc. 157, 3 (1994), 317–356",1994
22,3287560.3287567,David Hand,Protection or Privacy? Data Mining and Personal Data,"In Advances in Knowledge Discovery and Data Mining, 1–10",2006
23,3287560.3287567,Lucas D. Introna,"Algorithms, governance, and governmentality: On  governing academic writing","Sci. Technol. Hum. Values 41, 1 (2016), 17– 49",2016
24,3287560.3287567,Bernward Joerges and Terry Shinn,A Fresh Look at Instrumentation  an Introduction,"In Instrumentation Between Science, State and  Industry, Bernward Joerges and Terry Shinn (eds.). Springer Netherlands,  Dordrecht, 1–13",2001
25,3287560.3287567,Lukasz A. Kurgan and Petr Musilek,A survey of Knowledge  Discovery and Data Mining process models,"Knowl. Eng. Rev. 21, 1 (2006),  1–24",2006
26,3287560.3287567,Bruno Latour and Steve Woolgar,Laboratory Life: The  Construction of Scientific Facts (2nd ed,"). Princeton University Press,  Princeton",1985
27,3287560.3287567,Kristian Lum and William Isaac. To predict and serve? Significance,", 5 ,  14–19",DOI:https://doi.org/10.1111/j.1740-9713.2016.00960.x,13
28,3287560.3287567,Michael Lynch,Discipline and the Material Form of Images: An  Analysis of Scientific Visibility,"Soc. Stud. Sci. 15, 1 (1985), 37–66",1985
29,3287560.3287567,Michael Lynch,The externalized retina: Selection and  mathematization in the visual documentation of objects in the life sciences,"Hum. Stud. 11, (1988), 201–234",1988
30,3287560.3287567,Daniel A. McFarland and H. Richard McFarland,Big Data and the  danger of being precisely inaccurate,"Big Data Soc. 2, 2 (2015)",2015
31,3287560.3287567,"Michael Muller, Shion Guha, Eric P.S. Baumer, David Mimno, and N Sadat  Shami","Machine Learning and Grounded Theory Method:  Convergence, Divergence, and Combination","In Proceedings of the 19th  International Conference on Supporting Group Work, 3–8",2016
32,3287560.3287567,"Gina Neff, Anissa Tanweer, Brittany Fiore-Gartland, and Laura Osburn",Critique and Contribute: A Practice-Based Framework for Improving  Critical Data Studies and Data Science,"Big Data 5, 2 (2017), 85–97",2017
33,3287560.3287567,Frank Pasquale,The Black Box Society: The Secret Algorithms that  Control Money and Information,"Harvard University Press, Cambridge,  MA",2015
34,3287560.3287567,Samir Passi and Steven J. Jackson,Data Vision: Learning to See  Through Algorithmic Abstraction,"In Proceedings of the 2017 ACM  Conference on Computer Supported Cooperative Work and Social  Computing (CSCW ’17), 2436–2447",2017
35,3287560.3287567,Samir Passi and Steven J. Jackson,"Trust in Data Science:  Collaboration, Translation, and Accountability in Corporate Data Science  Projects","In Proceedings of the ACM on Human-Computer Interaction,  Vol. 2, CSCW, Article 136, 1–28",2018
36,3287560.3287567,Trevor J. Pinch and W. E. Bijker,The Social Construction of Facts and  Artefacts: or How the Sociology of Science and the Sociology of  Technology might Benefit Each Other,"Soc. Stud. Sci. 14, 3 (August 1984),  399–441",1984
37,3287560.3287567,Foster Provost and Tom Fawcett,Data Science for Business: What  You Need to Know About Data Mining and Data-Analytic Thinking,"O’Reilly Media, Sebastopol, CA",2013
38,3287560.3287567,Matthew Quirk,The Best Class Money Can Buy,The Atlantic  Monthly,2005
39,3287560.3287567,Gernot Rieder and Judith Simon,"Datatrust: Or, the political quest for  numerical evidence and the epistemologies of Big Data","Big Data Soc. 3, 1  (2016), 1–6",2016
40,3287560.3287567,Anselm Strauss and Juliet M. Corbin,Basics of Qualitative  Research: Grounded Theory Techniques and Procedures,"Sage, New  York",1990
41,3287560.3287567,Marian Wang,"Public Universities Ramp Up Aid for the Wealthy,  Leaving the Poor Behind",ProPublica,2013
42,3287560.3287567,Marian Wang,How Exactly Do Colleges Allocate Their Financial  Aid? They Won’t Say,ProPublica,2014
0,3287560.3287571,"Alekh Agarwal, Peter Bartlett, and Max Dama. Optimal allocation strategies for the dark pool problem. In Proceedings of the","th International Conference on Artificial Intelligence and Statistics, pages 9–16, 2010",,13
1,3287560.3287571,"Hamsa Bastani, Mohsen Bayati, and Khashayar Khosravi. Exploiting the natural exploration in contextual bandits. CoRR, abs/","09011, 2017",,1704
2,3287560.3287571,"Richard Berk, Hoda Heidari, Shahin Jabbari, Matthew Joseph, Michael Kearns, Jamie Morgenstern, Seth Neel, and Aaron Roth. A convex framework for fair regression. CoRR, abs/","02409, 2017",,1706
3,3287560.3287571,"Richard Berk, Hoda Heidari, Shahin Jabbari, Michael Kearns, and Aaron Roth. Fairness in criminal justice risk assessments: The state of the art. Sociological Methods & Research,",,,2018
4,3287560.3287571,"Sarah Bird, Solon Barocas, Kate Crawford, Fernando Diaz, and Hanna Wallach. Exploring or exploiting? social and ethical implications of autonomous experimentation in AI",,,2016
5,3287560.3287571,"Toon Calders, Asim Karim, Faisal Kamiran, Wasif Ali, and Xiangliang Zhang. Controlling attribute effect in linear regression. In Proceedings of","th International Conference on Data Mining, pages 71–80, 2013",,13
6,3287560.3287571,"Flavio Chierichetti, Ravi Kumar, Silvio Lattanzi, and Sergei Vassilvitskii. Fair clustering through fairlets. In Proceedings of the","th Annual Conference on Neural Information Processing Systems, pages 5029–5037, 2017",,31
7,3287560.3287571,"Sam Corbett-Davies, Emma Pierson, Avi Feller, Sharad Goel, and Aziz Huq. Algorithmic decision making and the cost of fairness. In Proceedings of the","rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, pages 797–806, 2017",,23
8,3287560.3287571,Cynthia Dwork and Christina Ilvento. Fairness under composition. In Proceedings of the,"th Innovations in Theoretical Computer Science, 2019",,10
9,3287560.3287571,"Cynthia Dwork, Moritz Hardt, Toniann Pitassi, Omer Reingold, and Richard Zemel. Fairness through awareness. In Proceedings of the","rd Innovations in Theoretical Computer Science, pages 214–226, 2012",,3
10,3287560.3287571,"Danielle Ensign, Sorelle Friedler, Scott Neville, Carlos Scheidegger, and Suresh Venkatasubramanian. Runaway feedback loops in predictive policing. In Conference on Fairness, Accountability and Transparency, pages","–171, 2018",,160
11,3287560.3287571,"Danielle Ensign, Sorelle Frielder, Scott Neville, Carlos Scheidegger, and Suresh Venkatasubramanian. Decision making with limited feedback. In Proceedings of the","th Conference on Algorithmic Learning Theory, pages 359–367, 2018",,29
12,3287560.3287571,"Kuzman Ganchev, Michael Kearns, Yuriy Nevmyvaka, and Jennifer Wortman Vaughan. Censored exploration and the dark pool problem. In Proceedings of the","th Conference on Uncertainty in Artificial Intelligence, pages 185–194, 2009",,25
13,3287560.3287571,"Moritz Hardt, Eric Price, and Nathan Srebro. Equality of opportunity in supervised learning. In Proceedings of the","th Annual Conference on Neural Information Processing Systems, pages 3315–3323, 2016",,30
14,3287560.3287571,"David Inouye, Eunho Yang, Genevera Allen, and Pradeep Ravikumar. A review ofmultivariate distributions for count data derived from the poisson distribution. Wiley Interdisciplinary Reviews: Computational Statistics,",", 2017",,9
15,3287560.3287571,"Shahin Jabbari, Matthew Joseph, Michael Kearns, Jamie Morgenstern, and Aaron Roth. Fairness in reinforcement learning. In Proceedings of the","th International Conference on Machine Learning, pages 1617–1626, 2017",,34
16,3287560.3287571,"Matthew Joseph, Michael Kearns, Jamie Morgenstern, and Aaron Roth. Fairness in learning: classic and contextual bandits. In Proceedings of the","th Annual Conference on Neural Information Processing Systems, pages 325–333, 2016",,30
17,3287560.3287571,"Sampath Kannan, Jamie Morgenstern, Aaron Roth, Bo Waggoner, and Zhiwei Steven Wu. A smoothed analysis of the greedy algorithm for the linear contextual bandit problem. In Proceedings of the","nd Annual Conference on Neural Information Processing Systems, 2018",,32
18,3287560.3287571,"Jon Kleinberg, Sendhil Mullainathan, and Manish Raghavan. Inherent trade-offs in the fair determination of risk scores. In Proceedings of the","th Innovations in Theoretical Computer Science, pages 43:1–43:23, 2017",,8
19,3287560.3287571,"Lydia Liu, Sarah Dean, Esther Rolf, Max Simchowitz, and Moritz Hardt. Delayed impact of fair machine learning. In Proceedings of the","th International Conference on Machine Learning, pages 3156–3164, 2018",,35
20,3287560.3287571,"Kristian Lum and William Isaac. To predict and serve? Significance, pages","–18, October 2016",,14
21,3287560.3287571,"Ariel Procaccia. Cake cutting: Not just child’s play. Communications of the ACM,","(7):78–87, 2013",,56
22,3287560.3287571,"Manish Raghavan, Aleksandrs Slivkins, Jennifer Wortman Vaughan, and Zhiwei Steven Wu. The externalities of exploration and how data diversity helps exploitation. In Proceedings of the","st Conference On Learning Theory, pages 1724–1738, 2018",,31
23,3287560.3287571,"Blake Woodworth, Suriya Gunasekar, Mesrob Ohannessian, and Nathan Srebro. Learning non-discriminatory predictors. In Proceedings of the","th Conference on Learning Theory, pages 1920–1953, 2017",,30
24,3287560.3287571,"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez-Rodriguez, and Krishna Gummadi. Fairness beyond disparate treatment & disparate impact: Learning classification without disparate mistreatment. In Proceedings of the","th International Conference on World Wide Web, pages 1171–1180, 2017",,26
25,3287560.3287571,"Richard Zemel, Yu Wu, Kevin Swersky, Toniann Pitassi, and Cynthia Dwork. Learning fair representations. In Proceedings of the","th International Conference on Machine Learning, pages 325–333, 2013",,30
